Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/R52.sam
AT1G01010	202
AT1G01020	189
AT1G01030	18.33
AT1G01040	724.83
AT1G01046	9.50
AT1G01050	1682.83
AT1G01060	797
AT1G01070	110
AT1G01073	0
AT1G01080	1933.50
AT1G01090	2966.50
AT1G01100	4125.50
AT1G01110	33
AT1G01115	0
AT1G01120	3667.50
AT1G01130	61
AT1G01140	2456.33
AT1G01150	1
AT1G01160	678.33
AT1G01170	966.83
AT1G01180	326.33
AT1G01183	0
AT1G01190	31
AT1G01200	24
AT1G01210	154.33
AT1G01220	731
AT1G01225	37
AT1G01230	544
AT1G01240	391.33
AT1G01250	40
AT1G01260	345
AT1G01270	0
AT1G01280	0
AT1G01290	259
AT1G01300	1561
AT1G01305	0
AT1G01310	5
AT1G01320	9678.50
AT1G01340	574
AT1G01350	344
AT1G01355	0
AT1G01360	191.50
AT1G01370	65
AT1G01380	16
AT1G01390	79
AT1G01400	1
AT1G01410	0
AT1G01420	136
AT1G01430	952
AT1G01440	456.50
AT1G01448	101
AT1G01450	61
AT1G01453	8
AT1G01460	0
AT1G01470	2940
AT1G01471	0
AT1G01480	42
AT1G01490	1018.00
AT1G01500	310.50
AT1G01510	600
AT1G01520	13
AT1G01530	8
AT1G01540	2024.00
AT1G01550	3213.50
AT1G01560	698.50
AT1G01570	45
AT1G01580	13
AT1G01590	3
AT1G01600	255.50
AT1G01610	1131
AT1G01620	3110
AT1G01630	1590.67
AT1G01640	40
AT1G01650	990.50
AT1G01660	26
AT1G01670	37
AT1G01680	800.50
AT1G01690	71
AT1G01695	10
AT1G01700	15.33
AT1G01710	621
AT1G01720	817.83
AT1G01725	79.50
AT1G01730	464.50
AT1G01740	79.50
AT1G01750	14
AT1G01760	55
AT1G01770	302
AT1G01780	99.50
AT1G01790	2918.50
AT1G01800	1540.44
AT1G01810	9
AT1G01820	948.50
AT1G01830	571
AT1G01840	47.50
AT1G01860	197.50
AT1G01870	0
AT1G01880	22
AT1G01890	0
AT1G01900	116.50
AT1G01910	1016.50
AT1G01920	199
AT1G01930	234.50
AT1G01940	172.50
AT1G01950	567
AT1G01960	2245
AT1G01970	858
AT1G01980	0
AT1G01990	346
AT1G02000	273
AT1G02010	167
AT1G02020	351.50
AT1G02030	0
AT1G02040	0.50
AT1G02050	83.17
AT1G02060	94.50
AT1G02065	42
AT1G02070	10
AT1G02074	0
AT1G02080	2408
AT1G02090	624
AT1G02100	646.50
AT1G02110	423
AT1G02120	1949.83
AT1G02130	794
AT1G02140	2152.67
AT1G02145	410
AT1G02150	2173.50
AT1G02160	165
AT1G02170	962.67
AT1G02180	108.50
AT1G02190	7
AT1G02205	1107
AT1G02210	0
AT1G02220	295
AT1G02230	78
AT1G02250	1
AT1G02260	528
AT1G02270	981.25
AT1G02280	1178.08
AT1G02290	113.50
AT1G02300	226.50
AT1G02305	1698.83
AT1G02310	14.83
AT1G02320	0
AT1G02330	375.00
AT1G02335	144
AT1G02340	8
AT1G02350	26
AT1G02360	247.50
AT1G02370	106
AT1G02380	72
AT1G02390	228.50
AT1G02391	0
AT1G02400	87
AT1G02405	8
AT1G02410	607.50
AT1G02420	67.50
AT1G02430	38.50
AT1G02440	9
AT1G02450	273
AT1G02460	23
AT1G02470	69
AT1G02475	1630.28
AT1G02480	0
AT1G02490	3
AT1G02500	6318.42
AT1G02510	0
AT1G02520	17
AT1G02530	3
AT1G02540	0
AT1G02550	0
AT1G02560	7298
AT1G02570	0
AT1G02575	0
AT1G02580	28
AT1G02590	0
AT1G02600	0
AT1G02610	38.50
AT1G02620	0
AT1G02630	7
AT1G02640	170.50
AT1G02650	3
AT1G02660	213
AT1G02670	35
AT1G02680	210
AT1G02690	157
AT1G02700	54.50
AT1G02710	76
AT1G02720	180
AT1G02730	519.75
AT1G02740	225.50
AT1G02750	289
AT1G02760	0
AT1G02770	8
AT1G02780	9292.50
AT1G02790	0
AT1G02800	56
AT1G02810	7
AT1G02813	0
AT1G02816	460
AT1G02820	181.50
AT1G02830	0
AT1G02840	1509.50
AT1G02850	818.25
AT1G02860	106
AT1G02870	213
AT1G02880	529
AT1G02890	1344.50
AT1G02900	49
AT1G02910	1154.83
AT1G02920	7583.08
AT1G02930	11783.33
AT1G02940	17
AT1G02950	41
AT1G02952	35
AT1G02960	224
AT1G02965	0
AT1G02970	83
AT1G02980	0
AT1G02990	292
AT1G03000	553.50
AT1G03010	26
AT1G03020	23
AT1G03022	0
AT1G03030	422.00
AT1G03040	933
AT1G03050	35.50
AT1G03055	127
AT1G03060	1344.83
AT1G03070	8.50
AT1G03080	891.50
AT1G03090	366.67
AT1G03100	78.17
AT1G03103	0
AT1G03106	0
AT1G03110	150
AT1G03120	5
AT1G03130	5483
AT1G03140	668.50
AT1G03150	282.50
AT1G03160	1713.50
AT1G03170	2
AT1G03180	46
AT1G03190	240
AT1G03200	13.50
AT1G03210	499
AT1G03220	1842
AT1G03230	729
AT1G03240	2
AT1G03250	534.00
AT1G03260	179
AT1G03270	69
AT1G03280	741.50
AT1G03290	1626
AT1G03300	87
AT1G03310	1508
AT1G03320	10
AT1G03330	495.33
AT1G03340	152
AT1G03350	932.17
AT1G03360	123
AT1G03365	366.50
AT1G03370	1458.50
AT1G03380	821.50
AT1G03390	1
AT1G03400	1125.33
AT1G03410	587
AT1G03430	508.00
AT1G03440	393
AT1G03445	1.50
AT1G03457	139
AT1G03470	57
AT1G03475	6536.00
AT1G03490	0
AT1G03495	246.00
AT1G03502	1
AT1G03506	5
AT1G03510	32
AT1G03515	0
AT1G03520	174.50
AT1G03530	206
AT1G03540	34.67
AT1G03545	54.00
AT1G03550	85.00
AT1G03560	185.50
AT1G03570	0
AT1G03590	264
AT1G03600	6320.50
AT1G03610	296.50
AT1G03620	11
AT1G03630	4658.50
AT1G03640	0
AT1G03650	88.50
AT1G03660	31.50
AT1G03670	0
AT1G03680	8087
AT1G03687	288.50
AT1G03700	1
AT1G03710	5
AT1G03720	0
AT1G03730	251.50
AT1G03740	1057
AT1G03743	0
AT1G03746	0
AT1G03750	132
AT1G03760	150
AT1G03770	70
AT1G03780	135
AT1G03790	1
AT1G03800	2
AT1G03810	0
AT1G03820	307.50
AT1G03830	118
AT1G03840	13
AT1G03850	472.50
AT1G03860	1500.75
AT1G03870	1934
AT1G03880	0.25
AT1G03890	0
AT1G03900	2188
AT1G03905	43
AT1G03910	838.50
AT1G03920	11
AT1G03930	799.50
AT1G03935	43
AT1G03940	169.50
AT1G03950	351
AT1G03960	215
AT1G03970	334.17
AT1G03980	162.17
AT1G03982	0
AT1G03990	55.50
AT1G04000	218
AT1G04010	207
AT1G04020	328.50
AT1G04030	632.17
AT1G04040	2396.17
AT1G04050	70
AT1G04070	110
AT1G04080	1818.00
AT1G04090	14
AT1G04100	80
AT1G04110	107
AT1G04120	1403.50
AT1G04130	162.50
AT1G04140	1879.50
AT1G04150	0
AT1G04160	173.50
AT1G04170	1812.50
AT1G04171	0
AT1G04180	1
AT1G04190	616
AT1G04200	992.50
AT1G04210	901.50
AT1G04220	66
AT1G04230	217
AT1G04240	687
AT1G04250	521
AT1G04260	219
AT1G04270	5349.83
AT1G04280	717.50
AT1G04290	212.00
AT1G04295	210.00
AT1G04300	977.50
AT1G04310	164.50
AT1G04320	0
AT1G04330	0
AT1G04340	401.50
AT1G04350	1025
AT1G04360	13
AT1G04370	1
AT1G04380	0
AT1G04390	178
AT1G04400	2475
AT1G04410	17534.33
AT1G04420	3138.50
AT1G04425	31
AT1G04430	2861
AT1G04440	1810.33
AT1G04445	0
AT1G04450	0
AT1G04470	0
AT1G04480	2348.33
AT1G04490	72
AT1G04500	2
AT1G04501	0.50
AT1G04510	1381
AT1G04520	249
AT1G04530	1276.00
AT1G04540	45
AT1G04550	375
AT1G04555	182
AT1G04560	0
AT1G04570	44
AT1G04580	3
AT1G04590	409
AT1G04600	123.50
AT1G04610	5
AT1G04620	1256.50
AT1G04625	53.50
AT1G04630	510
AT1G04635	28
AT1G04640	829.50
AT1G04645	1
AT1G04650	62
AT1G04660	12
AT1G04670	0
AT1G04680	2482.75
AT1G04684	0
AT1G04690	2091
AT1G04700	26
AT1G04710	608.50
AT1G04720	0
AT1G04730	130
AT1G04750	2154
AT1G04760	59
AT1G04770	337
AT1G04778	6
AT1G04780	1010.50
AT1G04790	394
AT1G04800	953
AT1G04810	1433
AT1G04820	6686
AT1G04830	259
AT1G04840	39
AT1G04850	2008.50
AT1G04860	682.50
AT1G04870	589
AT1G04880	4
AT1G04890	0
AT1G04900	155
AT1G04910	636.50
AT1G04920	54
AT1G04930	65
AT1G04940	854.67
AT1G04945	969.67
AT1G04950	393.00
AT1G04960	489
AT1G04970	665.50
AT1G04980	1417.33
AT1G04985	418.00
AT1G04990	1649.00
AT1G05000	250
AT1G05010	7827.08
AT1G05020	28
AT1G05030	321
AT1G05040	0
AT1G05055	203.50
AT1G05060	400.50
AT1G05065	24
AT1G05070	335
AT1G05080	0
AT1G05085	0
AT1G05090	268.25
AT1G05100	21
AT1G05120	406.50
AT1G05136	5
AT1G05140	1471
AT1G05150	724.50
AT1G05160	212
