Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/H552.sam
AT1G01010	197
AT1G01020	134.50
AT1G01030	69.50
AT1G01040	684.50
AT1G01046	4
AT1G01050	1476.92
AT1G01060	3240.25
AT1G01070	96.33
AT1G01073	0
AT1G01080	1744.67
AT1G01090	3176.00
AT1G01100	3631.67
AT1G01110	40.50
AT1G01115	0
AT1G01120	3611.83
AT1G01130	22
AT1G01140	3571.12
AT1G01150	0
AT1G01160	849.67
AT1G01170	1166.42
AT1G01180	462
AT1G01183	0
AT1G01190	18
AT1G01200	13.50
AT1G01210	133
AT1G01220	674.83
AT1G01225	57
AT1G01230	674.50
AT1G01240	584.50
AT1G01250	38
AT1G01260	328.50
AT1G01270	0
AT1G01280	0
AT1G01290	342.50
AT1G01300	1982
AT1G01305	1
AT1G01310	5.50
AT1G01320	6609.83
AT1G01340	436.50
AT1G01350	469
AT1G01355	1
AT1G01360	241
AT1G01370	78
AT1G01380	9
AT1G01390	64
AT1G01400	4
AT1G01410	0
AT1G01420	177.50
AT1G01430	1764.33
AT1G01440	529.50
AT1G01448	146.83
AT1G01450	71.83
AT1G01453	0
AT1G01460	0
AT1G01470	2969.00
AT1G01471	0
AT1G01480	30.33
AT1G01490	1839.17
AT1G01500	392
AT1G01510	662.72
AT1G01520	80.33
AT1G01530	8
AT1G01540	2031
AT1G01550	3618.00
AT1G01560	688
AT1G01570	32.50
AT1G01580	27
AT1G01590	2.50
AT1G01600	264
AT1G01610	945
AT1G01620	3235
AT1G01630	1741
AT1G01640	37
AT1G01650	939.83
AT1G01660	22.50
AT1G01670	56
AT1G01680	478
AT1G01690	90.50
AT1G01695	5.33
AT1G01700	32.50
AT1G01710	816.25
AT1G01720	1014.50
AT1G01725	142.50
AT1G01730	524.58
AT1G01740	128
AT1G01750	11.50
AT1G01760	40.50
AT1G01770	345.50
AT1G01780	124.50
AT1G01790	2559.00
AT1G01800	1540
AT1G01810	17
AT1G01820	981
AT1G01830	653.50
AT1G01840	57
AT1G01860	254.50
AT1G01870	0.50
AT1G01880	32.50
AT1G01890	0
AT1G01900	78.50
AT1G01910	1227.33
AT1G01920	225.50
AT1G01930	268.50
AT1G01940	152.17
AT1G01950	605.33
AT1G01960	2015.50
AT1G01970	740.25
AT1G01980	0
AT1G01990	384
AT1G02000	277
AT1G02010	175
AT1G02020	377.50
AT1G02030	3
AT1G02040	0
AT1G02050	76
AT1G02060	118
AT1G02065	77.50
AT1G02070	18.50
AT1G02074	0
AT1G02080	2044.25
AT1G02090	637
AT1G02100	640.33
AT1G02110	380
AT1G02120	1625.50
AT1G02130	742.50
AT1G02140	2475
AT1G02145	410.50
AT1G02150	1874.17
AT1G02160	200
AT1G02170	923.67
AT1G02180	130.67
AT1G02190	4.33
AT1G02205	1059.50
AT1G02210	0
AT1G02220	241
AT1G02230	58
AT1G02250	2
AT1G02260	413
AT1G02270	1174.50
AT1G02280	1326.17
AT1G02290	179.50
AT1G02300	252.83
AT1G02305	1803.17
AT1G02310	9.58
AT1G02320	0
AT1G02330	446.67
AT1G02335	108
AT1G02340	14
AT1G02350	27
AT1G02360	161.50
AT1G02370	97.50
AT1G02380	97.50
AT1G02390	190
AT1G02391	0
AT1G02400	81
AT1G02405	25
AT1G02410	590.50
AT1G02420	71
AT1G02430	58.67
AT1G02440	3
AT1G02450	196
AT1G02460	16
AT1G02470	33.50
AT1G02475	1748.25
AT1G02480	0
AT1G02490	0
AT1G02500	6889.17
AT1G02510	0
AT1G02520	29.25
AT1G02530	10.75
AT1G02540	0.33
AT1G02550	0
AT1G02560	7928.83
AT1G02570	0
AT1G02575	0
AT1G02580	15
AT1G02590	0
AT1G02600	0
AT1G02610	78
AT1G02620	0
AT1G02630	7
AT1G02640	182
AT1G02650	9
AT1G02660	248
AT1G02670	23
AT1G02680	212.25
AT1G02690	157.50
AT1G02700	45
AT1G02710	65
AT1G02720	272
AT1G02730	451.50
AT1G02740	200
AT1G02750	274.50
AT1G02760	0
AT1G02770	7
AT1G02780	9161.17
AT1G02790	0
AT1G02800	56.50
AT1G02810	17
AT1G02813	0
AT1G02816	482.50
AT1G02820	454
AT1G02830	0
AT1G02840	1163.33
AT1G02850	738.50
AT1G02860	139.50
AT1G02870	311.50
AT1G02880	667.83
AT1G02890	1536.00
AT1G02900	37
AT1G02910	1093.50
AT1G02920	7834.25
AT1G02930	14179.33
AT1G02940	26
AT1G02950	28.67
AT1G02952	18.67
AT1G02960	243
AT1G02965	0
AT1G02970	67.00
AT1G02980	0.33
AT1G02990	394.17
AT1G03000	476.25
AT1G03010	10.75
AT1G03020	37
AT1G03022	0
AT1G03030	449
AT1G03040	965.50
AT1G03050	28.33
AT1G03055	143.33
AT1G03060	965.58
AT1G03070	9
AT1G03080	959
AT1G03090	563.50
AT1G03100	78
AT1G03103	0
AT1G03106	0
AT1G03110	151.83
AT1G03120	1.25
AT1G03130	10692.25
AT1G03140	973.83
AT1G03150	338.50
AT1G03160	1563.00
AT1G03170	2
AT1G03180	57
AT1G03190	188.50
AT1G03200	10.50
AT1G03210	448.25
AT1G03220	2623.42
AT1G03230	777.50
AT1G03240	0
AT1G03250	544
AT1G03260	216
AT1G03270	95
AT1G03280	856.92
AT1G03290	1495
AT1G03300	126
AT1G03310	1400.33
AT1G03320	0
AT1G03330	558.50
AT1G03340	117.50
AT1G03350	1060.08
AT1G03360	129.50
AT1G03365	340.50
AT1G03370	1414
AT1G03380	1023.50
AT1G03390	3
AT1G03400	959
AT1G03410	468.83
AT1G03430	571.50
AT1G03440	423.50
AT1G03445	2
AT1G03457	100
AT1G03470	56
AT1G03475	4841.33
AT1G03490	0
AT1G03495	307.75
AT1G03502	4.50
AT1G03506	1.50
AT1G03510	34.50
AT1G03515	0
AT1G03520	198.50
AT1G03530	191.50
AT1G03540	16.33
AT1G03545	52.67
AT1G03550	78.67
AT1G03560	210.50
AT1G03570	0
AT1G03590	326
AT1G03600	6038.17
AT1G03610	388
AT1G03620	9
AT1G03630	3493.33
AT1G03640	0
AT1G03650	72
AT1G03660	17
AT1G03670	0
AT1G03680	7113.00
AT1G03687	317.83
AT1G03700	0.67
AT1G03710	3
AT1G03720	0
AT1G03730	230.33
AT1G03740	1292
AT1G03743	0
AT1G03746	0
AT1G03750	156
AT1G03760	150
AT1G03770	74.50
AT1G03780	114.50
AT1G03790	0.67
AT1G03800	7
AT1G03810	0
AT1G03820	236.67
AT1G03830	125.50
AT1G03840	6
AT1G03850	190
AT1G03860	1781.33
AT1G03870	1494.17
AT1G03880	0
AT1G03890	0
AT1G03900	2306.25
AT1G03905	53.50
AT1G03910	835
AT1G03920	23
AT1G03930	939
AT1G03935	38
AT1G03940	239.75
AT1G03950	432
AT1G03960	262.50
AT1G03970	345.17
AT1G03980	212.17
AT1G03982	0
AT1G03990	47.50
AT1G04000	286.50
AT1G04010	209.33
AT1G04020	258
AT1G04030	508.17
AT1G04040	1844.17
AT1G04050	65.50
AT1G04070	104
AT1G04080	1550.11
AT1G04090	9
AT1G04100	128
AT1G04110	84
AT1G04120	1313.17
AT1G04130	167.25
AT1G04140	1898.00
AT1G04150	0
AT1G04160	176
AT1G04170	2115.25
AT1G04171	0
AT1G04180	1
AT1G04190	583.50
AT1G04200	1094
AT1G04210	924.67
AT1G04220	66
AT1G04230	210
AT1G04240	527
AT1G04250	690.50
AT1G04260	224
AT1G04270	5590.83
AT1G04280	661
AT1G04290	179.33
AT1G04295	171.33
AT1G04300	1163.58
AT1G04310	181.83
AT1G04320	0
AT1G04330	2
AT1G04340	375.50
AT1G04350	1269.50
AT1G04360	27
AT1G04370	1
AT1G04380	0
AT1G04390	184.50
AT1G04400	2505
AT1G04410	14518.50
AT1G04420	2834.50
AT1G04425	37.50
AT1G04430	2830.29
AT1G04440	2083.83
AT1G04445	1
AT1G04450	0
AT1G04470	0
AT1G04480	1982
AT1G04490	42
AT1G04500	7
AT1G04501	0
AT1G04510	1266.50
AT1G04520	328
AT1G04530	1626.50
AT1G04540	87
AT1G04550	379.50
AT1G04555	137.17
AT1G04560	0
AT1G04570	24
AT1G04580	3
AT1G04590	408.67
AT1G04600	91.50
AT1G04610	0
AT1G04620	696.50
AT1G04625	84.17
AT1G04630	537.00
AT1G04635	51.50
AT1G04640	818.25
AT1G04645	0
AT1G04650	56
AT1G04660	4
AT1G04670	0
AT1G04680	2049.50
AT1G04684	0
AT1G04690	2093.33
AT1G04700	39
AT1G04710	496
AT1G04720	0
AT1G04730	137
AT1G04750	2005.83
AT1G04760	46
AT1G04770	559.50
AT1G04778	2
AT1G04780	996.25
AT1G04790	413.83
AT1G04800	510.50
AT1G04810	1426.50
AT1G04820	6659.67
AT1G04830	335.83
AT1G04840	23
AT1G04850	2014.33
AT1G04860	758
AT1G04870	662
AT1G04880	2
AT1G04890	0
AT1G04900	227.67
AT1G04910	721.67
AT1G04920	20
AT1G04930	61
AT1G04940	776.67
AT1G04945	911.67
AT1G04950	536
AT1G04960	610
AT1G04970	702.50
AT1G04980	1280.50
AT1G04985	457.17
AT1G04990	1494.50
AT1G05000	114
AT1G05010	12400.75
AT1G05020	57
AT1G05030	279
AT1G05040	2
AT1G05055	237.50
AT1G05060	412
AT1G05065	46.50
AT1G05070	314
AT1G05080	0.33
AT1G05085	0
AT1G05090	284.75
AT1G05100	32
AT1G05120	337
AT1G05136	2
AT1G05140	1825.67
AT1G05150	699
AT1G05160	217.50
AT1G05170	510.75
AT1G05180	973
AT1G05190	8713.08
AT1G05200	932.50
AT1G05205	228.50
AT1G05210	115
AT1G05220	46
AT1G05230	628.50
AT1G05240	3
AT1G05250	1
AT1G05260	12
AT1G05270	599.50
AT1G05280	0
AT1G05290	0
AT1G05291	0
AT1G05300	89
AT1G05310	45
AT1G05320	661.50
AT1G05330	1
AT1G05340	302
AT1G05350	711.50
AT1G05360	170.25
AT1G05370	34
AT1G05380	542
AT1G05385	351.50
AT1G05390	0
AT1G05400	12.50
AT1G05410	282.50
AT1G05420	14
AT1G05430	548.75
AT1G05440	23
AT1G05450	3
AT1G05460	211
AT1G05470	146
AT1G05490	12
AT1G05500	1051.67
AT1G05510	2
AT1G05520	1005.25
AT1G05530	0
AT1G05540	155.25
AT1G05550	29
AT1G05560	583.67
AT1G05562	572.17
AT1G05570	1767.00
AT1G05575	49
AT1G05577	1
AT1G05580	0
AT1G05590	377.50
AT1G05600	99
AT1G05610	2
AT1G05615	0
AT1G05620	375.50
AT1G05630	871.50
AT1G05640	72.50
AT1G05650	0
AT1G05660	0
AT1G05670	132
AT1G05675	133.50
AT1G05680	5
AT1G05690	121
AT1G05700	4
AT1G05710	288
AT1G05720	415.33
AT1G05730	161.83
AT1G05740	0
AT1G05750	154
AT1G05760	32.50
AT1G05770	10
AT1G05780	71
AT1G05785	131.50
AT1G05790	497.50
AT1G05800	5.50
AT1G05805	840.33
AT1G05810	243.50
AT1G05820	37.50
AT1G05830	520.50
AT1G05835	137.50
AT1G05840	496.50
AT1G05850	12759.83
AT1G05860	199
AT1G05870	310.50
AT1G05880	41.50
AT1G05890	1225.50
AT1G05894	3.50
AT1G05900	462.50
AT1G05910	604.50
AT1G05920	0
AT1G05925	0
AT1G05930	1
AT1G05940	1042.33
AT1G05950	71.50
AT1G05960	1150.00
AT1G05970	106.50
AT1G05980	0
AT1G05990	0
AT1G06000	1394.75
AT1G06002	718.42
AT1G06010	173.00
AT1G06020	2
AT1G06030	1
AT1G06040	3929.25
AT1G06050	131
AT1G06060	510
AT1G06070	352
AT1G06080	52
AT1G06090	12
AT1G06100	139.50
AT1G06110	562.50
AT1G06120	0
AT1G06130	1093.50
AT1G06135	0
AT1G06137	0
AT1G06140	22
AT1G06148	10
AT1G06149	326.92
AT1G06150	403.42
AT1G06160	122
AT1G06170	4
AT1G06180	255
AT1G06190	1396.00
AT1G06200	835.50
AT1G06210	631.17
AT1G06220	1366.58
AT1G06225	0
AT1G06230	886
AT1G06240	370.33
AT1G06250	14
AT1G06260	10.67
AT1G06265	28.17
AT1G06270	68
AT1G06280	0
AT1G06290	1571.00
AT1G06310	0
AT1G06320	0
AT1G06330	0
AT1G06340	0
AT1G06350	80
AT1G06360	871
AT1G06380	174.00
AT1G06390	1577.25
AT1G06400	1092.50
