Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y63.sam
AT1G01010	136
AT1G01020	166.50
AT1G01030	44.33
AT1G01040	514.83
AT1G01046	3.50
AT1G01050	1493.83
AT1G01060	901
AT1G01070	77
AT1G01073	0
AT1G01080	2076.00
AT1G01090	3292.33
AT1G01100	5130.25
AT1G01110	73.50
AT1G01115	0
AT1G01120	5668.17
AT1G01130	54.08
AT1G01140	2814.75
AT1G01150	0
AT1G01160	729.17
AT1G01170	1617.25
AT1G01180	616
AT1G01183	3
AT1G01190	21
AT1G01200	48
AT1G01210	155.50
AT1G01220	486
AT1G01225	40.50
AT1G01230	713
AT1G01240	385.50
AT1G01250	79.50
AT1G01260	276.50
AT1G01270	0
AT1G01280	0
AT1G01290	219
AT1G01300	2072
AT1G01305	0
AT1G01310	0.50
AT1G01320	5389.92
AT1G01340	369.50
AT1G01350	382
AT1G01355	0
AT1G01360	329
AT1G01370	91
AT1G01380	33
AT1G01390	81
AT1G01400	0
AT1G01410	0
AT1G01420	202.50
AT1G01430	1314
AT1G01440	506
AT1G01448	107.17
AT1G01450	50.17
AT1G01453	4
AT1G01460	0
AT1G01470	4379.33
AT1G01471	0
AT1G01480	9
AT1G01490	1621.17
AT1G01500	321.50
AT1G01510	587.25
AT1G01520	20
AT1G01530	4
AT1G01540	1682
AT1G01550	3869.67
AT1G01560	488
AT1G01570	27
AT1G01580	10
AT1G01590	12
AT1G01600	273
AT1G01610	1290.92
AT1G01620	7530.08
AT1G01630	1568
AT1G01640	60.50
AT1G01650	783
AT1G01660	9
AT1G01670	36
AT1G01680	186.50
AT1G01690	43
AT1G01695	3
AT1G01700	21
AT1G01710	612.00
AT1G01720	594.50
AT1G01725	141
AT1G01730	542.50
AT1G01740	55
AT1G01750	3.50
AT1G01760	29
AT1G01770	198.50
AT1G01780	77.50
AT1G01790	2919.50
AT1G01800	1508.67
AT1G01810	12
AT1G01820	1271
AT1G01830	577
AT1G01840	57.50
AT1G01860	178.50
AT1G01870	0
AT1G01880	19
AT1G01890	0
AT1G01900	113.50
AT1G01910	910.50
AT1G01920	178
AT1G01930	178
AT1G01940	233.25
AT1G01950	502.50
AT1G01960	1522.50
AT1G01970	662.17
AT1G01980	0
AT1G01990	445.50
AT1G02000	348
AT1G02010	158
AT1G02020	365
AT1G02030	1
AT1G02040	0.50
AT1G02050	27.17
AT1G02060	73.25
AT1G02065	77
AT1G02070	15
AT1G02074	1
AT1G02080	1723.50
AT1G02090	661
AT1G02100	515
AT1G02110	487.25
AT1G02120	1666.08
AT1G02130	820
AT1G02140	2590.17
AT1G02145	382.50
AT1G02150	1603.50
AT1G02160	285.50
AT1G02170	943.50
AT1G02180	137
AT1G02190	12.75
AT1G02205	756.25
AT1G02210	0
AT1G02220	58
AT1G02230	29
AT1G02250	1
AT1G02260	409
AT1G02270	760.33
AT1G02280	972.50
AT1G02290	110.50
AT1G02300	180.25
AT1G02305	1634.83
AT1G02310	3
AT1G02320	0
AT1G02330	356
AT1G02335	358.50
AT1G02340	86.50
AT1G02350	49
AT1G02360	307
AT1G02370	111
AT1G02380	51
AT1G02390	105.50
AT1G02391	0
AT1G02400	199
AT1G02405	13
AT1G02410	550.75
AT1G02420	42.50
AT1G02430	33.25
AT1G02440	8.25
AT1G02450	219
AT1G02460	3
AT1G02470	61
AT1G02475	1782.00
AT1G02480	0
AT1G02490	0
AT1G02500	5140.50
AT1G02510	0
AT1G02520	9
AT1G02530	12
AT1G02540	0
AT1G02550	0
AT1G02560	6599.75
AT1G02570	0
AT1G02575	0
AT1G02580	8
AT1G02590	0
AT1G02600	0
AT1G02610	109
AT1G02620	3
AT1G02630	2
AT1G02640	282
AT1G02650	12
