Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/H551.sam
AT1G01010	149
AT1G01020	185
AT1G01030	72
AT1G01040	710.50
AT1G01046	12.50
AT1G01050	1386.67
AT1G01060	1724.08
AT1G01070	95
AT1G01073	0
AT1G01080	1746.33
AT1G01090	3171
AT1G01100	4030.00
AT1G01110	38
AT1G01115	0
AT1G01120	2930
AT1G01130	21
AT1G01140	3455.50
AT1G01150	3
AT1G01160	699.00
AT1G01170	1291.50
AT1G01180	380
AT1G01183	0
AT1G01190	14.50
AT1G01200	25.50
AT1G01210	160
AT1G01220	727.50
AT1G01225	32
AT1G01230	604.50
AT1G01240	508
AT1G01250	70.33
AT1G01260	348.50
AT1G01270	0
AT1G01280	0
AT1G01290	350
AT1G01300	1759.83
AT1G01305	0.50
AT1G01310	4.50
AT1G01320	6560.25
AT1G01340	509
AT1G01350	440
AT1G01355	4
AT1G01360	175.50
AT1G01370	81
AT1G01380	13
AT1G01390	56
AT1G01400	0
AT1G01410	0
AT1G01420	162.50
AT1G01430	1274.50
AT1G01440	525
AT1G01448	118.50
AT1G01450	70.50
AT1G01453	0
AT1G01460	0
AT1G01470	2893.33
AT1G01471	0
AT1G01480	33
AT1G01490	1475.50
AT1G01500	457
AT1G01510	606
AT1G01520	50
AT1G01530	0
AT1G01540	1830
AT1G01550	3496
AT1G01560	827
AT1G01570	29
AT1G01580	28
AT1G01590	2
AT1G01600	193
AT1G01610	943
AT1G01620	2780.50
AT1G01630	1413.17
AT1G01640	34
AT1G01650	1015
AT1G01660	20
AT1G01670	31.33
AT1G01680	432
AT1G01690	74.50
AT1G01695	6
AT1G01700	20.50
AT1G01710	810.50
AT1G01720	1037.83
AT1G01725	87
AT1G01730	567.50
AT1G01740	106.50
AT1G01750	11
AT1G01760	23
AT1G01770	315.00
AT1G01780	116.50
AT1G01790	2708.50
AT1G01800	1406
AT1G01810	11
AT1G01820	1052
AT1G01830	468
AT1G01840	69.50
AT1G01860	218.50
AT1G01870	0
AT1G01880	19
AT1G01890	0
AT1G01900	124.50
AT1G01910	1199.50
AT1G01920	220
AT1G01930	225
AT1G01940	141.50
AT1G01950	545.50
AT1G01960	2217.17
AT1G01970	668.00
AT1G01980	0
AT1G01990	376
AT1G02000	266
AT1G02010	213
AT1G02020	406
AT1G02030	2
AT1G02040	1
AT1G02050	89
AT1G02060	132.50
AT1G02065	53
AT1G02070	2
AT1G02074	0
AT1G02080	2062
AT1G02090	694
AT1G02100	769.83
AT1G02110	444
AT1G02120	1742
AT1G02130	821
AT1G02140	2372
AT1G02145	376
AT1G02150	2033.50
AT1G02160	199.50
AT1G02170	1066.50
AT1G02180	99
AT1G02190	13
AT1G02205	1057
AT1G02210	0
AT1G02220	236.50
AT1G02230	89
AT1G02250	0
AT1G02260	449
AT1G02270	1121
AT1G02280	1380.50
AT1G02290	134
AT1G02300	246
AT1G02305	1750
AT1G02310	11.50
AT1G02320	0
AT1G02330	391
AT1G02335	127
AT1G02340	15
AT1G02350	50
AT1G02360	176
AT1G02370	101
AT1G02380	60.50
AT1G02390	101
AT1G02391	0
AT1G02400	85
AT1G02405	11
AT1G02410	595
AT1G02420	76.33
AT1G02430	57.83
AT1G02440	8
AT1G02450	238.50
AT1G02460	27
AT1G02470	64
AT1G02475	1634.50
AT1G02480	0
AT1G02490	0
AT1G02500	6679.33
AT1G02510	0
AT1G02520	29
AT1G02530	1
AT1G02540	0
AT1G02550	0
AT1G02560	8123.00
AT1G02570	0
AT1G02575	0
AT1G02580	15
AT1G02590	0
AT1G02600	0
AT1G02610	59
AT1G02620	0
AT1G02630	3.50
AT1G02640	167
AT1G02650	11
AT1G02660	243.67
AT1G02670	25
AT1G02680	263.50
AT1G02690	199
AT1G02700	63
AT1G02710	66
AT1G02720	274
AT1G02730	504.50
AT1G02740	252
AT1G02750	248.00
AT1G02760	0
AT1G02770	9
AT1G02780	8858.11
AT1G02790	0
AT1G02800	55
AT1G02810	2
AT1G02813	1.00
AT1G02816	333
AT1G02820	296.50
AT1G02830	2
AT1G02840	1428.00
AT1G02850	634.42
AT1G02860	134.50
AT1G02870	307.50
AT1G02880	535.75
AT1G02890	1473.75
AT1G02900	25
AT1G02910	1233.17
AT1G02920	7641.42
AT1G02930	12719.00
AT1G02940	8
AT1G02950	36.50
AT1G02952	19.50
AT1G02960	222
AT1G02965	0
AT1G02970	72
AT1G02980	0
AT1G02990	398.50
AT1G03000	544.00
AT1G03010	16
AT1G03020	67
AT1G03022	0
AT1G03030	460.50
AT1G03040	995.75
AT1G03050	15.50
AT1G03055	128.50
AT1G03060	1116
AT1G03070	2
AT1G03080	884.50
AT1G03090	535
AT1G03100	100
AT1G03103	0
AT1G03106	0
AT1G03110	157.50
AT1G03120	5
AT1G03130	10474.83
AT1G03140	769
AT1G03150	332
AT1G03160	1535.58
AT1G03170	3
AT1G03180	75
AT1G03190	167.50
AT1G03200	16.50
AT1G03210	464
AT1G03220	2562.17
AT1G03230	714
AT1G03240	2
AT1G03250	496
AT1G03260	212.50
AT1G03270	61
AT1G03280	843
AT1G03290	1729.50
AT1G03300	101
AT1G03310	1325
AT1G03320	4
AT1G03330	471.50
AT1G03340	158
AT1G03350	1084.50
AT1G03360	137
AT1G03365	303
AT1G03370	1641.50
AT1G03380	860.50
AT1G03390	0
AT1G03400	1088.50
AT1G03410	653.50
AT1G03430	523
AT1G03440	473
AT1G03445	2
AT1G03457	110
AT1G03470	90
AT1G03475	5823.25
AT1G03490	0
AT1G03495	257.50
AT1G03502	7.50
AT1G03506	19.50
AT1G03510	28
AT1G03515	0
AT1G03520	159
AT1G03530	197.50
AT1G03540	20.50
AT1G03545	57
AT1G03550	100.50
AT1G03560	181
AT1G03570	0
AT1G03590	287
AT1G03600	7000.08
AT1G03610	411
AT1G03620	12
AT1G03630	4116.67
AT1G03640	0
AT1G03650	82
AT1G03660	31
AT1G03670	0
AT1G03680	7318.25
AT1G03687	296.00
AT1G03700	2
AT1G03710	2
AT1G03720	0
AT1G03730	224.33
AT1G03740	1266.50
AT1G03743	0
AT1G03746	0
AT1G03750	142.50
AT1G03760	177.50
AT1G03770	74
AT1G03780	131.75
AT1G03790	0
AT1G03800	2
AT1G03810	0
AT1G03820	98
AT1G03830	102
AT1G03840	10.33
AT1G03850	223
AT1G03860	1686.50
AT1G03870	1370.50
AT1G03880	0
AT1G03890	0
AT1G03900	2274
AT1G03905	66
AT1G03910	946.50
AT1G03920	21
