Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y62.sam
AT1G01010	127.50
AT1G01020	187
AT1G01030	34.50
AT1G01040	379.50
AT1G01046	4
AT1G01050	2031
AT1G01060	1053.50
AT1G01070	58
AT1G01073	0
AT1G01080	2334.50
AT1G01090	2956.33
AT1G01100	6543.00
AT1G01110	88
AT1G01115	0
AT1G01120	5652.50
AT1G01130	47
AT1G01140	2321
AT1G01150	0
AT1G01160	825
AT1G01170	1981.50
AT1G01180	827
AT1G01183	0
AT1G01190	17
AT1G01200	58
AT1G01210	172
AT1G01220	441
AT1G01225	87
AT1G01230	807
AT1G01240	451
AT1G01250	73
AT1G01260	227
AT1G01270	0
AT1G01280	0
AT1G01290	314
AT1G01300	2298
AT1G01305	0
AT1G01310	4.50
AT1G01320	4347.50
AT1G01340	410
AT1G01350	362
AT1G01355	0
AT1G01360	500
AT1G01370	108
AT1G01380	43
AT1G01390	80
AT1G01400	0
AT1G01410	0
AT1G01420	278
AT1G01430	1490.33
AT1G01440	461
AT1G01448	102
AT1G01450	66
AT1G01453	8
AT1G01460	0
AT1G01470	4466.50
AT1G01471	0
AT1G01480	26
AT1G01490	2613
AT1G01500	328
AT1G01510	627.50
AT1G01520	21
AT1G01530	13.67
AT1G01540	2112
AT1G01550	3839.53
AT1G01560	410
AT1G01570	26
AT1G01580	1
AT1G01590	9.50
AT1G01600	323
AT1G01610	1225
AT1G01620	8996.33
AT1G01630	1882.83
AT1G01640	78
AT1G01650	791
AT1G01660	5
AT1G01670	14
AT1G01680	371
AT1G01690	40
AT1G01695	0
AT1G01700	23
AT1G01710	610
AT1G01720	479.50
AT1G01725	129.50
AT1G01730	577.50
AT1G01740	74.50
AT1G01750	18.50
AT1G01760	40.50
AT1G01770	258
AT1G01780	80
AT1G01790	2529.00
AT1G01800	2014.50
AT1G01810	2
AT1G01820	1405
AT1G01830	465
AT1G01840	51.50
AT1G01860	167.50
AT1G01870	0
AT1G01880	12
AT1G01890	0
AT1G01900	82.50
AT1G01910	984.50
AT1G01920	283
AT1G01930	159
AT1G01940	286
AT1G01950	426
AT1G01960	1441.50
AT1G01970	888
AT1G01980	6
AT1G01990	610.50
AT1G02000	280
AT1G02010	169
AT1G02020	375.50
AT1G02030	8
AT1G02040	0
AT1G02050	64
AT1G02060	107
AT1G02065	87
AT1G02070	18.50
AT1G02074	2
AT1G02080	1347
AT1G02090	730
AT1G02100	764
AT1G02110	543
AT1G02120	1584
AT1G02130	954
AT1G02140	3261
AT1G02145	529.00
AT1G02150	1757
AT1G02160	328
AT1G02170	850
AT1G02180	107
AT1G02190	4
AT1G02205	715.50
AT1G02210	0
AT1G02220	114
AT1G02230	24
AT1G02250	0
AT1G02260	342
AT1G02270	683
AT1G02280	1211.50
AT1G02290	144
AT1G02300	307.50
AT1G02305	2034.67
AT1G02310	2.50
AT1G02320	0
AT1G02330	350
AT1G02335	384
AT1G02340	59
AT1G02350	68
AT1G02360	285.50
AT1G02370	94
AT1G02380	57
AT1G02390	111
AT1G02391	0
AT1G02400	173
AT1G02405	30
AT1G02410	705
AT1G02420	95
AT1G02430	41
AT1G02440	6
AT1G02450	337
AT1G02460	8
AT1G02470	105
AT1G02475	2189
AT1G02480	0
AT1G02490	0
AT1G02500	6301.50
AT1G02510	0
AT1G02520	10
AT1G02530	15
AT1G02540	0
AT1G02550	0
AT1G02560	7336.00
AT1G02570	6
AT1G02575	0
AT1G02580	12
AT1G02590	0
AT1G02600	0
AT1G02610	136
AT1G02620	5
AT1G02630	9
AT1G02640	424
AT1G02650	10
AT1G02660	303.50
AT1G02670	17
AT1G02680	324
AT1G02690	123
AT1G02700	11
AT1G02710	46
AT1G02720	213
AT1G02730	203.50
AT1G02740	313.50
AT1G02750	329
AT1G02760	0
AT1G02770	15
AT1G02780	8950.50
AT1G02790	0
AT1G02800	38
AT1G02810	24
