Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/WT1.sam
AT1G01010	62.50
AT1G01020	169.50
AT1G01030	47.67
AT1G01040	529.17
AT1G01046	3
AT1G01050	1521.17
AT1G01060	822
AT1G01070	109.50
AT1G01073	0
AT1G01080	2486
AT1G01090	3366.50
AT1G01100	6324.00
AT1G01110	45
AT1G01115	0
AT1G01120	4199
AT1G01130	58.50
AT1G01140	2036.33
AT1G01150	3
AT1G01160	718.00
AT1G01170	1561.00
AT1G01180	507.50
AT1G01183	1
AT1G01190	68
AT1G01200	39
AT1G01210	257
AT1G01220	496.50
AT1G01225	50
AT1G01230	556
AT1G01240	327
AT1G01250	73
AT1G01260	280
AT1G01270	0
AT1G01280	0
AT1G01290	198.50
AT1G01300	1990.50
AT1G01305	0
AT1G01310	17.50
AT1G01320	6364.50
AT1G01340	253
AT1G01350	284
AT1G01355	1
AT1G01360	227.50
AT1G01370	93.50
AT1G01380	38
AT1G01390	103.50
AT1G01400	0
AT1G01410	0
AT1G01420	214
AT1G01430	1239.33
AT1G01440	355
AT1G01448	115.50
AT1G01450	62.50
AT1G01453	0
AT1G01460	0.50
AT1G01470	2426
AT1G01471	0
AT1G01480	0
AT1G01490	1271.33
AT1G01500	354
AT1G01510	546
AT1G01520	18
AT1G01530	2
AT1G01540	1969
AT1G01550	2851.50
AT1G01560	138.50
AT1G01570	36
AT1G01580	24
AT1G01590	7
AT1G01600	311.83
AT1G01610	1686
AT1G01620	5840
AT1G01630	1536.61
AT1G01640	26
AT1G01650	721.50
AT1G01660	9
AT1G01670	45
AT1G01680	89
AT1G01690	59.50
AT1G01695	2.50
AT1G01700	16
AT1G01710	574
AT1G01720	374
AT1G01725	121
AT1G01730	416
AT1G01740	89
AT1G01750	8.50
AT1G01760	34.50
AT1G01770	294.08
AT1G01780	87.75
AT1G01790	3136.50
AT1G01800	1552
AT1G01810	3
AT1G01820	1220.50
AT1G01830	498
AT1G01840	71
AT1G01860	193
AT1G01870	0
AT1G01880	26
AT1G01890	0
AT1G01900	152
AT1G01910	1076
AT1G01920	253
AT1G01930	179
AT1G01940	211.50
AT1G01950	465
AT1G01960	1671
AT1G01970	801
AT1G01980	0
AT1G01990	422
AT1G02000	258
AT1G02010	139.50
AT1G02020	338
AT1G02030	1
AT1G02040	1
AT1G02050	79.17
AT1G02060	81.50
AT1G02065	61
AT1G02070	10
AT1G02074	0
AT1G02080	1456.50
AT1G02090	592
AT1G02100	652.50
AT1G02110	464
AT1G02120	1609.67
AT1G02130	782
AT1G02140	2538
AT1G02145	375.50
AT1G02150	2060.33
AT1G02160	297
AT1G02170	663.50
AT1G02180	111
AT1G02190	2
AT1G02205	704.50
AT1G02210	0
AT1G02220	77
AT1G02230	74
AT1G02250	0
AT1G02260	370.50
AT1G02270	617.00
AT1G02280	1354.50
AT1G02290	117
AT1G02300	216.50
AT1G02305	1640.00
AT1G02310	6
AT1G02320	0
AT1G02330	290
AT1G02335	176
AT1G02340	16
AT1G02350	85
AT1G02360	104
AT1G02370	109
AT1G02380	74
AT1G02390	55
AT1G02391	0
AT1G02400	89
AT1G02405	13
AT1G02410	468
AT1G02420	53.50
AT1G02430	24.50
AT1G02440	1
AT1G02450	46
AT1G02460	18
AT1G02470	28
AT1G02475	1521.50
AT1G02480	0
AT1G02490	1
AT1G02500	5094
AT1G02510	0
AT1G02520	3
AT1G02530	4
AT1G02540	0
AT1G02550	0
